stop_name,lng,lat
Alam Megah LRT,101.5720477,3.023169031
USJ21 LRT,101.581773,3.029726
Wawasan LRT,101.58806,3.03509
Taipan LRT,101.590081,3.04772
USJ7 LRT,101.591945,3.054768
SS18 LRT,101.586139,3.06708791
SS15 LRT,101.586134,3.075783
Subang Jaya LRT,101.587472,3.084929
Glenmarie LRT,101.590466,3.09586
Ara Damansara LRT,101.586564,3.108453
Lembah Subang LRT,101.591229,3.11206
LRT DANG WANGI,101.70301,3.1562
SMK CONVENT BUKIT NANAS,101.7009,3.15359
PAVILLION (UTARA),101.71158,3.15039
BINTANG WALK,101.71316,3.14792
BKT BINTANG,101.71083,3.14781
MENARA DBKL,101.69459,3.15353
CHOW KIT (UTARA),101.69754,3.16798
MENARA MARA,101.69604,3.15801
HOSPITAL KUALA LUMPUR (BARAT),101.69887,3.17148
HOSPITAL KUALA LUMPUR (SELATAN),101.69829,3.17019
BGN IMR,101.69967,3.16777
MASJID KG. BARU,101.703,3.16487
SK PENDIDIKAN KHAS KUALA LUMPUR,101.70267,3.1616
MASJID NEGARA,101.69275,3.14325
DAYABUMI,101.69348,3.14595
DAYABUMI,101.6935,3.14469
KL SENTRAL,101.68575,3.13489
KTM KUALA LUMPUR / KTM HQ,101.69291,3.13925
MUZIUM NEGARA (TIMUR),101.68944,3.13763
1SENTRAL,101.684461,3.131797
WISMA BOUSTEAD,101.70915,3.15018
GLENEAGLES INTAN MEDICAL CENTER,101.73953,3.16066
RENAISSANCE HOTEL,101.70553,3.15669
WISMA SELANGOR DREDGING,101.70964,3.15904
MENARA BSN,101.70869,3.15852
KLCC (UTARA),101.71226,3.15884
KUN YAM THONG TEMPLE,101.71585,3.15991
LRT AMPANG PARK,101.71732,3.16022
WISMA MCA,101.71653,3.16018
MENARA AIA,101.69965,3.15242
KLCC (BARAT),101.71062,3.15675
KL CITY WALK,101.70818,3.15478
KL CONVENTION CENTER (BARAT),101.71162,3.15397
KL CONVENTION CENTER (TIMUR),101.71532,3.15375
AMANAH RAYA,101.69746,3.15047
MUZIUM TELEKOM,101.69887,3.14845
